question_ref,prep_test,section_number,section_label,question_number,question_label,module_id,section_id,source_item_id
PT 101 · S1 (RC) · Q1,PT 101,1,S1,1,Q1,LSAC101,RC101A-1,JR000459
PT 101 · S1 (RC) · Q2,PT 101,1,S1,2,Q2,LSAC101,RC101A-1,JR000462
PT 101 · S1 (RC) · Q3,PT 101,1,S1,3,Q3,LSAC101,RC101A-1,JR000460
PT 101 · S1 (RC) · Q4,PT 101,1,S1,4,Q4,LSAC101,RC101A-1,JR000466
PT 101 · S1 (RC) · Q5,PT 101,1,S1,5,Q5,LSAC101,RC101A-1,JR000463
PT 101 · S1 (RC) · Q6,PT 101,1,S1,6,Q6,LSAC101,RC101A-1,JR000461
PT 101 · S1 (RC) · Q7,PT 101,1,S1,7,Q7,LSAC101,RC101A-1,JR000471
PT 101 · S1 (RC) · Q8,PT 101,1,S1,8,Q8,LSAC101,RC101A-1,JR000474
PT 101 · S1 (RC) · Q9,PT 101,1,S1,9,Q9,LSAC101,RC101A-1,JR000472
PT 101 · S1 (RC) · Q10,PT 101,1,S1,10,Q10,LSAC101,RC101A-1,JR000476
PT 101 · S1 (RC) · Q11,PT 101,1,S1,11,Q11,LSAC101,RC101A-1,JR000477
PT 101 · S1 (RC) · Q12,PT 101,1,S1,12,Q12,LSAC101,RC101A-1,JR000479
PT 101 · S1 (RC) · Q13,PT 101,1,S1,13,Q13,LSAC101,RC101A-1,JR000480
PT 101 · S1 (RC) · Q14,PT 101,1,S1,14,Q14,LSAC101,RC101A-1,XD000737
PT 101 · S1 (RC) · Q15,PT 101,1,S1,15,Q15,LSAC101,RC101A-1,XD000742
PT 101 · S1 (RC) · Q16,PT 101,1,S1,16,Q16,LSAC101,RC101A-1,XD000741
PT 101 · S1 (RC) · Q17,PT 101,1,S1,17,Q17,LSAC101,RC101A-1,XD000739
PT 101 · S1 (RC) · Q18,PT 101,1,S1,18,Q18,LSAC101,RC101A-1,XD000743
PT 101 · S1 (RC) · Q19,PT 101,1,S1,19,Q19,LSAC101,RC101A-1,XD000748
PT 101 · S1 (RC) · Q20,PT 101,1,S1,20,Q20,LSAC101,RC101A-1,XD000740
PT 101 · S1 (RC) · Q21,PT 101,1,S1,21,Q21,LSAC101,RC101A-1,XD000735
PT 101 · S1 (RC) · Q22,PT 101,1,S1,22,Q22,LSAC101,RC101A-1,XD000726
PT 101 · S1 (RC) · Q23,PT 101,1,S1,23,Q23,LSAC101,RC101A-1,XD000728
PT 101 · S1 (RC) · Q24,PT 101,1,S1,24,Q24,LSAC101,RC101A-1,XD000727
PT 101 · S1 (RC) · Q25,PT 101,1,S1,25,Q25,LSAC101,RC101A-1,XD000731
PT 101 · S1 (RC) · Q26,PT 101,1,S1,26,Q26,LSAC101,RC101A-1,XD000734
PT 101 · S1 (RC) · Q27,PT 101,1,S1,27,Q27,LSAC101,RC101A-1,XD000730
PT 101 · S2 (LR) · Q1,PT 101,2,S2,1,Q1,LSAC101,LR101A-2,AK002021
PT 101 · S2 (LR) · Q2,PT 101,2,S2,2,Q2,LSAC101,LR101A-2,XG002724
