prep_test,module_id,prep_test_title,section_number,is_experimental,source_group_id,first_question,last_question,question_count,passage_html,passage_type,p_tag_count,heading_p_count,paragraph_count,html_flags,passage_uniqueness,also_appears_in,explanation_status,explanation_p_count,explanation_html,overall_html,qc_notes
101,LSAC101,The Official LSAT PrepTest 101,1,FALSE,RC-Z060,1,6,6,"<p style='text-indent: 1em;'>To many developers of technologies that affect public health or the environment, ""risk communication"" means persuading the public that the potential risks of such technologies are small and should be ignored. Those who communicate risks in this way seem to believe that lay people do not understand the actual nature of technological risk, and they can cite <lr data-itemid='JR000466'>studies</lr> asserting that, although people apparently ignore mundane hazards that pose significant danger, they get upset about exotic hazards that pose little chance of death or injury. Because some risk communicators take this persuasive stance, many lay people see ""risk communication"" as a euphemism for brainwashing done by experts.</p><p style='text-indent: 1em;'>Since, however, the goal of risk communication should be to enable people to make informed decisions about technological risks, a clear understanding about how the public perceives risk is needed. Lay people's definitions of ""risk"" are more likely to reflect subjective ethical concerns than are experts' definitions. Lay people, for example, tend to perceive a small risk to children as more significant than a larger risk to consenting adults who benefit from the risk-creating technology. However, if asked to rank hazards by the number of annual fatalities, without reference to ethical judgments, lay people provide quite reasonable estimates, demonstrating that they have substantial knowledge about many risks. Although some studies claim to demonstrate that lay people have inappropriate concerns about exotic hazards, these studies often use questionable methods, such as asking lay people to rank risks that are hard to compare. In contrast, a recent study showed that when lay people were given the necessary facts and time, they understood the specific risks of electromagnetic fields produced by high-voltage power transmission well enough to make informed decisions.</p><p style='text-indent: 1em;'>Risk communication should therefore be based on the principle that people process new information in the context of their existing beliefs. If people know nothing about a topic, they will find messages about that topic incomprehensible. If they have erroneous beliefs, they are likely to misconstrue the messages. Thus, communicators need to know the nature and extent of recipients' knowledge and beliefs in order to design messages that will not be dismissed or misinterpreted. This need was demonstrated in a research project concerning the public's level of knowledge about risks posed by the presence of radon in the home. Researchers used open-ended interviews and questionnaires to determine what information should be included in their brochure on radon. Subjects who read the researchers' brochure performed significantly better in understanding radon risks than did a control group who read a brochure that was written using a different approach by a government agency. Thus, careful preparation can help risk communicators to produce balanced material that tells people what they need to know to make decisions about technological risks.</p>",Single,3,0,3,INLINE_STYLE,Reused,LSAC024,Done - QC pending,3,"<p>The passage opens with a definition the author intends to attack. To many technology developers, <strong>the risk communicators</strong>, 'risk communication' means talking the public out of worrying — persuading people that risks are small and can be ignored. Their justification is that lay people misjudge danger, fretting over exotic hazards while shrugging at mundane ones that kill more people. The paragraph ends on the consequence rather than an endorsement: because the field is practised this way, many lay people hear 'risk communication' and think brainwashing. Notice the author is reporting this position, not sharing it.</p><p>'Since, however' flips the passage to the author's own view: the goal should be helping people make informed decisions, which requires understanding how the public actually perceives risk. The defence of <strong>lay people</strong> is careful and worth tracking piece by piece. Their idea of risk carries ethical weight, so a small risk to children outweighs a larger one to consenting adults who benefit — a difference in values, not an error. Strip the ethics out and ask them to rank hazards by annual deaths and their estimates are reasonable. The studies claiming otherwise often use questionable methods, and one recent study found that lay people given facts and time understood power-line electromagnetic fields well enough to decide for themselves.</p><p>The closing paragraph converts the critique into a working principle: people process new information through the beliefs they already hold. Someone who knows nothing finds the message incomprehensible; someone with mistaken beliefs misreads it. So a communicator has to know what the audience already thinks before designing the message. The radon study is the proof — researchers interviewed and surveyed people first, built their brochure around what they learned, and readers of that brochure understood radon risk significantly better than a control group reading a government agency's differently written version. The author's conclusion is practical rather than merely critical: careful preparation produces balanced material people can actually use.</p>","<p>The passage rejects the common practice of treating risk communication as persuasion aimed at a public assumed to be irrational, arguing instead that lay people's risk judgments are largely sound once their ethical framing is accounted for, and that effective communication must be built on what the audience already believes. The author's purpose is corrective and prescriptive, moving from the flawed current approach, to a defence of lay understanding, to a principle for doing it properly, closed with the radon study as evidence. The viewpoints to keep apart are the risk communicators the author criticizes, the lay people the author defends, and the author's own prescription.</p>",
101,LSAC101,The Official LSAT PrepTest 101,1,FALSE,RC-Z061,7,13,7,"<p style='text-indent: 1em;'>In April 1990 representatives of the Pico Korea Union of electronics workers in Buchon City, South Korea, traveled to the United States in order to demand just settlement of their claims from the parent company of their employer, who upon the formation of the union had shut down operations without paying the workers. From the beginning, the union cause was championed by an unprecedented coalition of Korean American groups and deeply affected the Korean American community on several levels.</p><p style='text-indent: 1em;'>First, it served as a rallying focus for a diverse community often divided by generation, class, and political ideologies. Most notably, the Pico cause mobilized many young second-generation Korean Americans, many of whom had never been part of a political campaign before, let alone one involving Korean issues. Members of this generation, unlike first-generation Korean Americans, generally fall within the more privileged sectors of the Korean American community and often feel alienated from their Korean roots. In addition to raising the political consciousness of young Korean Americans, the Pico struggle sparked among them new interest in their cultural identity. The Pico workers also suggested new roles that can be played by recent immigrants, particularly working-class immigrants. These immigrants' knowledge of working conditions overseas can help to globalize the perspective of their communities and can help to establish international ties on a more personal level, as witnessed in the especially warm exchange between the Pico workers and recent working-class immigrants from China. In addition to broadening the political base within the Korean American community, the Pico struggle also led to new alliances between the Korean American community and progressive labor and social justice groups within the larger society—as evidenced in the support received from the Coalition of Labor Union Women and leading African American unionists.</p><p style='text-indent: 1em;'>The reasons for these effects lie in the nature of the cause. The issues raised by the Pico unionists had such a strong human component that differences within the community became secondary to larger concerns for social justice and workers' rights. The workers' demands for compensation and respect were unencumbered with strong ideological trappings. The economic exploitation faced by the Pico workers underscored the common interests of Korean workers, Korean Americans, the working class more inclusively, and a broad spectrum of community leaders.</p><p style='text-indent: 1em;'>The Pico workers' campaign thus offers an important lesson. It demonstrates that ethnic communities need more than just a knowledge of history and culture as artifacts of the past in order to strengthen their ethnic identity. It shows that perhaps the most effective means of empowerment for many ethnic communities of immigrant derivation may be an identification with and participation in current struggles for economic and social justice in their countries of origin.</p>",Single,4,0,4,INLINE_STYLE,Reused,LSAC024,Done - QC pending,4,"<p>The opening paragraph is pure setup and you should read it for the facts rather than for argument. In April 1990 representatives of the Pico Korea Union, electronics workers from Buchon City in South Korea, came to the United States to press their claims against the parent company of an employer that had shut down operations without paying them once the union formed. Two details are load-bearing for everything after: the cause drew an unprecedented coalition of Korean American groups, and it affected the Korean American community on several levels. The rest of the passage unpacks that second phrase.</p><p>This is the passage's inventory of effects, and the questions will reward keeping the list straight. The cause first gave a community often split by generation, class and ideology something to rally around, most strikingly by mobilizing second-generation Korean Americans, many politically inactive until then, more privileged than the first generation and often distant from their Korean roots — and it awakened their interest in cultural identity. It also revealed a role for recent working-class immigrants, whose firsthand knowledge of overseas working conditions can globalize a community's outlook and build international ties personally, as with the warm exchange with recent immigrants from China. Finally it produced alliances beyond the community, with progressive labor and social justice groups.</p><p>Having listed the effects, the author now explains them, and the explanation is a single causal claim developed in a few sentences. What made these outcomes possible was the nature of the cause itself: the human element was strong enough that internal community differences receded behind shared concern for social justice and workers' rights. The workers were asking for compensation and respect, demands carrying no heavy ideological baggage that anyone would have to sign up to. Their economic exploitation exposed interests common to Korean workers, Korean Americans, the working class generally and a wide range of community leaders.</p><p>The final paragraph draws the lesson the whole passage has been built to support, and it is stated as a general principle rather than a fact about 1990. Knowing history and culture as artifacts of the past is not enough to strengthen an ethnic community's identity. What may work best for many communities of immigrant derivation is identifying with and taking part in present-day struggles for economic and social justice in their countries of origin. Note the hedge in 'perhaps' and 'may be' — the author is proposing, not declaring.</p>","<p>The passage uses the 1990 Pico Korea Union campaign in the United States to argue that participating in current social and economic justice struggles in an immigrant community's country of origin can strengthen ethnic identity more effectively than studying history and culture as artifacts of the past. The author's purpose is to draw a general lesson from a single case, moving from the events, to the campaign's several effects on the Korean American community, to why the cause produced them, to the principle they support. The passage is written in the author's voice throughout, with no competing viewpoints to separate.</p>",
101,LSAC101,The Official LSAT PrepTest 101,1,FALSE,RC-Z035,14,20,7,"<p style='text-indent: 1em;'>In recent years, scholars have begun to use social science tools to analyze court opinions. These scholars have justifiably criticized traditional legal research for its focus on a few cases that may not be representative and its fascination with arcane matters that do not affect real people with real legal problems. Zirkel and Schoenfeld, for example, have championed the application of social science tools to the analysis of case law surrounding discrimination against women in higher education employment. Their studies have demonstrated how these social science tools may be used to serve the interests of scholars, lawyers, and prospective plaintiffs as well. However, their enthusiasm for the ""outcomes analysis"" technique seems misguided.</p><p style='text-indent: 1em;'>Of fundamental concern is the outcomes analysts' assumption that simply counting the number of successful and unsuccessful plaintiffs will be useful to prospective plaintiffs. Although the odds are clearly against the plaintiff in sex discrimination cases, plaintiffs who believe that their cause is just and that they will prevail are not swayed by such evidence. In addition, because lawsuits are so different in the details of the case, in the quality of the evidence the plaintiff presents, and in the attitude of the judge toward academic plaintiffs, giving prospective plaintiffs statistics about overall outcomes without analyzing the reason for these outcomes is of marginal assistance. Outcomes analysis, for example, ignores the fact that in certain academic sex discrimination cases—those involving serious procedural violations or incriminating evidence in the form of written admissions of discriminatory practices—plaintiffs are much more likely to prevail.</p><p style='text-indent: 1em;'>Two different approaches offer more useful applications of social science tools in analyzing sex discrimination cases. One is a process called ""policy capturing,"" in which the researcher reads each opinion; identifies variables discussed in the opinion, such as the regularity of employer evaluations of the plaintiff's performance, training of evaluators, and the kind of evaluation instrument used; and then uses multivariate analysis to determine whether these variables predict the outcome of the lawsuit. The advantage of policy-capturing research is that it attempts to explain the reason for the outcome, rather than simply reporting the outcome, and identifies factors that contribute to a plaintiff's success or failure. <lr data-itemid='XD000748'>Taking a slightly different approach, other scholars have adopted a technique that requires reading complete transcripts of all sex discrimination cases litigated during a certain time period to identify variables such as the nature of the allegedly illegal conduct, the consequences for employers, and the nature of the remedy, as well as the factors that contributed to the verdict and the kind of evidence necessary for the plaintiff to prevail. While the findings of these studies are limited to the period covered, they assist potential plaintiffs and defendants in assessing their cases.</lr></p>",Single,3,0,3,INLINE_STYLE,Reused,LSAC024,Done - QC pending,3,"<p>The opening paragraph concedes before it attacks, and the shape matters. <strong>The social science scholars</strong> who analyse court opinions are, in the author's view, right to criticize traditional legal research for fixating on a handful of possibly unrepresentative cases and on arcane matters that touch no real litigant. <strong>Zirkel and Schoenfeld</strong> are named as leaders in applying these tools to case law on sex discrimination in higher education employment, and the author grants that their work serves scholars, lawyers and prospective plaintiffs alike. The last sentence is the pivot the passage turns on: their enthusiasm for the 'outcomes analysis' technique specifically seems misguided.</p><p>Here the author makes the case against outcomes analysis, and the objections stack. The fundamental problem is the assumption that counting wins and losses helps prospective plaintiffs — but plaintiffs who believe their cause is just are not deterred by bad odds. Beyond that, cases differ so much in their facts, in the quality of evidence, and in a judge's attitude toward academic plaintiffs that bare overall statistics, unaccompanied by any account of why cases came out as they did, offer only marginal help. The example seals it: outcomes analysis cannot see that plaintiffs alleging serious procedural violations or holding written admissions of discrimination are much more likely to win.</p><p>The closing paragraph is constructive, offering two better uses of the same social science tools. In 'policy capturing' a researcher reads each opinion, identifies variables such as how regularly the employer evaluated the plaintiff, how evaluators were trained and what instrument was used, then runs multivariate analysis to see which variables predict outcomes — the advantage being that it explains results rather than merely reporting them. The second approach reads complete transcripts from a set period to identify variables such as the conduct alleged, consequences for employers and the nature of the remedy, along with what actually drove the verdict. The author grants the limitation, findings bounded by the period studied, and still judges both useful to plaintiffs and defendants sizing up a case.</p>","<p>The passage endorses the broad project of applying social science tools to the analysis of sex discrimination case law while arguing that one particular technique, outcomes analysis, is of little practical use because counting wins and losses explains nothing about why cases are won or lost, and it recommends policy capturing and full-transcript analysis in its place. The author's purpose is evaluative and corrective, moving from concession, to a targeted critique, to two better alternatives. The viewpoints to distinguish are the author's and those of the social science scholars, Zirkel and Schoenfeld among them, whose general approach the author supports but whose enthusiasm for outcomes analysis the author rejects.</p>",
101,LSAC101,The Official LSAT PrepTest 101,1,FALSE,RC-Z034,21,27,7,"<p style='text-indent: 1em;'>A fake can be defined as an artwork intended to deceive. The motives of its creator are decisive, and the merit of the object itself is a separate issue. The question mark in the title of Mark Jones's Fake? The Art of Deception reveals the study's broader concerns. Indeed, it might equally be entitled Original?, and the text begins by noting a variety of possibilities somewhere between the two extremes. These include works by an artist's followers in the style of the master, deliberate archaism, copying for pedagogical purposes, and the production of commercial facsimiles.</p><p style='text-indent: 1em;'>The greater part of Fake? is devoted to a chronological survey suggesting that faking feeds on the many different motives people have for collecting art, and that, on the whole, the faking of art flourishes whenever art collecting flourishes. In imperial Rome there was a widespread interest in collecting earlier Greek art, and therefore in faking it. No doubt many of the sculptures now exhibited as ""Roman copies"" were originally passed off as Greek. In medieval Europe, because art was celebrated more for its devotional uses than for its provenance or the ingenuity of its creators, the faking of art was virtually nonexistent. The modern age of faking began in the Italian Renaissance, with two linked developments: a passionate identification with the world of antiquity and a growing sense of individual artistic identity. A patron of the young Michelangelo prevailed upon the artist to make his sculpture Sleeping Cupid look as though it had been buried in the earth so that ""it will be taken for antique, and you will sell it much better."" Within a few years, however, beginning with his first masterpiece, the Bacchus, Michelangelo had shown his contemporaries that great art can assimilate and transcend what came before, resulting in a wholly original work. Soon his genius made him the object of imitators.</p><p style='text-indent: 1em;'>Fake? also reminds us that in certain cultures authenticity is a foreign concept. This is true of much African art, where the authenticity of an object is considered by collectors to depend on its function. As an illustration, the study compares two versions of a chi wara mask made by the Bambara people of Mali. One has pegs allowing it to be attached to a cap for its intended ceremonial purpose. The second, otherwise identical, lacks the pegs and is a replica made for sale. African carving is notoriously difficult to date, but even if the ritual mask is recent, made perhaps to replace a damaged predecessor, and the replica much older, only the ritual mask should be seen as authentic, for it is tied to the form's original function. That, at least, is the consensus of the so-called experts. One wonders whether the Bambaran artists would agree.</p>",Single,3,0,3,INLINE_STYLE,Reused,LSAC024,Done - QC pending,3,"<p>The passage opens by defining its terms with unusual precision, and the definition is what the questions will lean on. A fake is an artwork intended to deceive: the creator's motive decides the matter, and whether the object is any good is a separate question entirely. The author then reads the question mark in the title of <strong>Mark Jones</strong>'s <em>Fake? The Art of Deception</em> as a signal that the book's concerns are broader — it could as easily have been called <em>Original?</em> — and notes the range of possibilities lying between the two poles: work by followers in a master's style, deliberate archaism, copying done to teach, and commercial facsimiles.</p><p>The bulk of the paragraph is the book's historical survey, organized around one proposition: faking feeds on the motives people have for collecting, so faking flourishes wherever collecting flourishes. Imperial Rome collected earlier Greek art and faked it, and the author suspects many sculptures now labelled Roman copies were first sold as Greek. Medieval Europe valued art for devotional use rather than provenance or the maker's ingenuity, so faking was virtually nonexistent. The modern age of faking begins in the Italian Renaissance with two linked developments, passion for antiquity and a growing sense of individual artistic identity — illustrated by the patron who had the young Michelangelo age his <em>Sleeping Cupid</em> to sell it as antique, and by Michelangelo's own later originality making him a target for imitators.</p><p>The final paragraph turns to cultures where authenticity itself is a foreign idea, and it closes with the author's one moment of open scepticism. In much African art, collectors treat authenticity as a matter of function, and the book compares two chi wara masks made by the Bambara people of Mali: one has pegs for attaching it to a cap for ceremonial use, the other is identical but pegless, a replica made for sale. Even if the ritual mask is the newer of the two, only it counts as authentic, because it is tied to the form's original function. The author attributes that judgment to <strong>the so-called experts</strong> — the phrasing is dismissive — and ends by wondering whether the Bambaran artists would agree, a question left deliberately open.</p>","<p>Reviewing Mark Jones's <em>Fake? The Art of Deception</em>, the passage explains that a fake is defined by its maker's intent to deceive, that the faking of art rises and falls with the collecting of art across history, and that in some cultures authenticity is judged by function rather than origin. The author's purpose is to present and largely endorse the book's account while adding a note of doubt at the end, moving from definition, to the chronological survey from Rome through the medieval period to the Renaissance, to the African case. The author's voice is mostly neutral, turning sceptical only toward the collectors and experts who decide which chi wara mask counts as authentic.</p>",
101,LSAC101,The Official LSAT PrepTest 101,4,TRUE,RC-Z025,1,8,8,"<p style='text-indent: 1em;'>Wherever the crime novels of P. D. James are discussed by critics, there is a tendency on the one hand to exaggerate her merits and on the other to castigate her as a genre writer who is getting above herself. Perhaps underlying the debate is that <lr data-itemid='XC000762'>familiar</lr>, false opposition set up between different kinds of fiction, according to which enjoyable novels are held to be somehow slightly lowbrow, and a novel is not considered true literature unless it is a tiny bit dull.</p><p style='text-indent: 1em;'>Those commentators who would elevate James's books to the status of high literature point to her painstakingly constructed characters, her elaborate settings, her sense of place, and her love of abstractions: notions about morality, duty, pain, and pleasure are never far from the lips of her police officers and murderers. Others find her pretentious and tiresome; an <lr data-itemid='XC000765'>inverted snobbery</lr> accuses her of abandoning the time-honored conventions of the detective genre in favor of a highbrow literary style. The critic Harriet Waugh wants P. D. James to get on with ""the more taxing business of laying a tricky trail and then fooling the reader""; Philip Oakes in The Literary Review groans, ""Could we please proceed with the business of clapping the handcuffs on the killer?""</p><p style='text-indent: 1em;'>James is certainly capable of strikingly good writing. She takes immense trouble to provide her characters with convincing histories and passions. Her descriptive digressions are part of the pleasure of her books and give them dignity and weight. But it is equally true that they frequently interfere with the story; the <lr data-itemid='XC000766'>patinas and aromas of a country kitchen</lr> receive more loving attention than does the plot itself. Her devices to advance the story can be shameless and thin, and it is often impossible to see how her detective arrives at the truth; one is left to conclude that the detective solves crimes through intuition. At this stage in her career P. D. James seems to be less interested in the specifics of detection than in her characters' vulnerabilities and perplexities.</p><p style='text-indent: 1em;'>However, once the rules of a chosen genre cramp creative thought, there is no reason why an able and interesting writer should accept them. In her latest book, there are signs that James is beginning to feel constrained by the crime-novel genre. Here her determination to leave areas of ambiguity in the solution of the crime and to distribute guilt among the murderer, victim, and bystanders points to a conscious rebellion against the traditional neatness of detective fiction. It is fashionable, though reprehensible, for one writer to prescribe to another. But perhaps the time has come for P. D. James to slide out of her handcuffs and stride into the territory of the mainstream novel.</p>",Single,4,0,4,INLINE_STYLE,Reused,LSAC019,Done - QC pending,4,"<p>The opening paragraph frames a critical quarrel and diagnoses what is wrong with it. Critics discussing P. D. James's crime novels tend to split between overpraising her and scolding her as a genre writer with pretensions above her station. The author suggests both camps are working from the same bad assumption — the familiar and, in the author's word, false opposition that treats enjoyable novels as slightly lowbrow and withholds the label of true literature from anything that is not a little dull. Notice that the author's target here is the framing of the debate itself, which sets up the balanced verdict to come.</p><p>The two camps get laid out in turn. <strong>The elevators</strong> point to James's painstakingly built characters, elaborate settings, sense of place and fondness for abstractions, with morality, duty, pain and pleasure always near the lips of her police officers and murderers. <strong>The detractors</strong> find her pretentious and tiresome, and the author characterizes their position as an inverted snobbery that accuses her of dropping the genre's time-honored conventions for a highbrow style. Two are quoted: Harriet Waugh wants her to get on with laying a tricky trail and fooling the reader, and Philip Oakes wants the handcuffs on the killer. Both critics belong to the detractor camp.</p><p>Now the author's own assessment arrives, and it deliberately splits the difference. On the credit side, James writes strikingly well, takes real trouble over her characters' histories and passions, and offers descriptive digressions that are part of the pleasure and give the books dignity and weight. On the debit side, those same digressions frequently get in the story's way — a country kitchen's patinas and aromas get more loving attention than the plot — her devices for advancing the story can be shameless and thin, and how the detective reaches the truth is often invisible, leaving intuition as the only explanation. The paragraph's conclusion is diagnostic: at this stage she seems more interested in her characters' vulnerabilities than in detection.</p><p>The final paragraph converts that diagnosis into advice. The author's principle is that when a genre's rules start cramping creative thought, an able writer has no reason to keep them, and the latest book shows James feeling the constraint: her determination to leave the solution ambiguous and to spread guilt among murderer, victim and bystanders reads as conscious rebellion against detective fiction's traditional neatness. The closing recommendation comes with a self-aware caveat — prescribing to another writer is fashionable but reprehensible — before the author does it anyway, suggesting James slide out of her handcuffs and move into the mainstream novel.</p>","<p>The passage argues that the critical quarrel over whether P. D. James is a literary novelist or an overreaching genre writer rests on a false opposition, offers a two-sided assessment in which her fine writing and rich characterization genuinely do come at the expense of plot and detection, and concludes that she has outgrown the crime novel and should move into mainstream fiction. The author's purpose is to evaluate and finally to advise, moving from the terms of the debate, to the two critical camps, to the author's own balanced verdict, to the recommendation. The viewpoints to track are the critics who elevate James, the detractors including Harriet Waugh and Philip Oakes, and the author, who sides fully with neither.</p>",
101,LSAC101,The Official LSAT PrepTest 101,4,TRUE,RC-Z016,9,14,6,"<p style='text-indent: 1em;'>Many Native Americans view the archaeological excavation and museum display of ancestral skeletal remains and items buried with them as a spiritual desecration. A number of legal remedies that either prohibit or regulate such activities may be available to Native American communities, if they can establish standing in such cases. In disinterment cases, courts have traditionally affirmed the standing of three classes of plaintiffs: the deceased's heirs, the owner of the property on which the grave is located, and parties, including organizations or distant relatives of the deceased, that have a clear interest in the preservation of a particular grave. If an archaeologically discovered grave is of recent historical origin and associated with an identifiable Native American community, Native Americans are likely to establish standing in a suit to prevent disinterment of the remains, but in cases where the grave is ancient and located in an area where the community of Native Americans associated with the grave has not recently lived, they are less likely to be successful in this regard. Indeed, in most cases involving ancient graves, to recognize that Native Americans have standing would represent a significant expansion of common law. In cases where standing can be achieved, however, common law may provide a basis for some Native American claims against archaeologists and museums.</p><p style='text-indent: 1em;'>Property law, for example, can be useful in establishing Native American claims to artifacts that are retrieved in the excavation of ancient graves and can be considered the communal property of Native American tribes or communities. In Charrier v. Bell, a United States appellate court ruled that the common law doctrine of abandonment, which allows the finder of abandoned property to claim ownership, does not apply to objects buried with the deceased. The court ruled that the practice of burying items with the body of the deceased ""is not intended as a means of relinquishing ownership to a stranger,"" and that to interpret it as such ""would render a grave subject to despoliation either immediately after interment or . . . after removal of the descendants of the deceased from the neighborhood of the cemetery."" This ruling suggests that artifacts excavated from Native American ancestral graves should be returned to representatives of tribal groups who can establish standing in such cases.</p><p style='text-indent: 1em;'>More generally, United States courts have upheld the distinction between individual and communal property, holding that an individual Native American does not have title to communal property owned and held for common use by his or her tribe. As a result, museums cannot assume that they have valid title to cultural property merely because they purchased in good faith an item that was originally sold in good faith by an individual member of a Native American community.</p>",Single,3,0,3,INLINE_STYLE,Reused,LSAC019,Done - QC pending,3,"<p>The opening paragraph sets up a legal problem and immediately complicates it. <strong>Many Native Americans</strong> regard the excavation and museum display of ancestral remains and grave goods as a spiritual desecration, and legal remedies may exist — but only for communities that can establish standing, the right to bring the case at all. Courts have traditionally granted standing to three classes: the deceased's heirs, the owner of the land holding the grave, and parties with a clear interest in preserving that particular grave. The paragraph then splits the outcomes: a recent grave tied to an identifiable community makes standing likely, while an ancient grave in an area the associated community has not lived in recently makes it unlikely, since recognizing standing there would significantly expand common law.</p><p>Having established that standing is the gate, the author turns to what becomes possible once through it, beginning with property law and one decided case. <em>Charrier v. Bell</em> held that the doctrine of abandonment, which lets a finder claim ownership of abandoned property, does not apply to objects buried with the dead. The court reasoned that burying items with a body is not a way of relinquishing ownership to a stranger, and that reading it that way would leave a grave open to despoliation right after burial or once the descendants moved away. The author draws the implication: artifacts taken from Native American ancestral graves should go back to tribal representatives who can establish standing.</p><p>The closing paragraph generalizes from that case to a second legal principle with a sharper practical edge. United States courts have upheld the distinction between individual and communal property, holding that an individual Native American holds no title to property owned and held for common use by the tribe. The consequence the author spells out is aimed squarely at museums: buying an item in good faith from an individual member of a Native American community, even where that individual sold it in good faith, does not give the museum valid title. Note that the whole passage stays in the register of legal analysis — the author explains what the law permits rather than arguing for a change to it.</p>","<p>The passage explains the legal avenues open to Native American communities objecting to the excavation and display of ancestral graves, arguing that standing is the decisive threshold — readily established for recent graves, rarely for ancient ones — and that once it is met, property law supports both the return of excavated grave goods and the conclusion that museums may hold no valid title to communal property bought from an individual. The author's purpose is expository, moving from the standing requirement, to the abandonment doctrine as settled in <em>Charrier v. Bell</em>, to the individual-versus-communal property distinction. Beyond the Native American communities whose objection opens the passage, the only positions described are those of the courts.</p>",
101,LSAC101,The Official LSAT PrepTest 101,4,TRUE,RC-Z007,15,20,6,"<p style='text-indent: 1em;'>When the same habitat types (forests, oceans, grasslands, etc.) in regions of different latitudes are compared, it becomes apparent that the overall number of species increases from pole to equator. This latitudinal gradient is probably even more pronounced than current records indicate, since researchers believe that most undiscovered species live in the tropics.</p><p style='text-indent: 1em;'>One hypothesis to explain this phenomenon, the ""time theory,"" holds that diverse species adapted to today's climatic conditions have had more time to emerge in the tropical regions, which, unlike the temperate and arctic zones, have been unaffected by a succession of ice ages. However, ice ages have caused less disruption in some temperate regions than in others and have not interrupted arctic conditions.</p><p style='text-indent: 1em;'>Alternatively, the species-energy hypothesis proposes the following positive correlations: incoming energy from the Sun correlated with rates of growth and reproduction; rates of growth and reproduction with the amount of living matter (biomass) at a given moment; and the amount of biomass with number of species. However, since organisms may die rapidly, high production rates can exist with low biomass. And high biomass can exist with few species. Moreover, the mechanism proposed—greater energy influx leading to bigger populations, thereby lowering the probability of local extinction—remains untested.</p><p style='text-indent: 1em;'>A third hypothesis centers on the tropics' climatic stability, which provides a more reliable supply of resources. Species can thus survive even with few types of food, and competing species can tolerate greater overlap between their respective niches. Both capabilities enable more species to exist on the same resources. However, the ecology of local communities cannot account for the origin of the latitudinal gradient. Localized ecological processes such as competition do not generate regional pools of species, and it is the total number of species available regionally for colonizing any particular area that makes the difference between, for example, a forest at the equator and one at a higher latitude.</p><p style='text-indent: 1em;'>A fourth and most plausible hypothesis focuses on regional speciation, and in particular on rates of speciation and extinction. According to this hypothesis, if speciation rates become higher toward the tropics, and are not negated by extinction rates, then the latitudinal gradient would result—and become increasingly steep.</p><p style='text-indent: 1em;'>The mechanism for this rate-of-speciation hypothesis is that most new animal species, and perhaps plant species, arise because a population subgroup becomes isolated. This subgroup evolves differently and eventually cannot interbreed with members of the original population. The uneven spread of a species over a large geographic area promotes this mechanism: at the edges, small populations spread out and form isolated groups. Since subgroups in an arctic environment are more likely to face extinction than those in the tropics, the latter are more likely to survive long enough to adapt to local conditions and ultimately become new species.</p>",Single,6,0,6,INLINE_STYLE,Reused,LSAC019,Done - QC pending,6,"<p>The passage opens by establishing the fact everything else will try to explain. Compare the same habitat type at different latitudes and the number of species rises as you move from pole to equator. The author adds that this latitudinal gradient is probably even steeper than the records show, since researchers believe most undiscovered species live in the tropics. Keep the structure in view from here: one phenomenon, then four candidate explanations assessed in turn, and the author's verdict attached to each.</p><p>The first candidate is the time theory: species suited to today's climate have had longer to emerge in the tropics, which unlike temperate and arctic zones were spared a succession of ice ages. The author's objection follows immediately and is empirical rather than theoretical — ice ages disrupted some temperate regions far less than others, and they never interrupted arctic conditions at all. The pattern to notice is that each hypothesis gets a compact statement followed by a 'however' that undercuts it.</p><p>The species-energy hypothesis is a chain of proposed correlations: solar energy with growth and reproduction rates, those rates with the amount of living matter present at a given moment, and biomass with the number of species. The author breaks the chain at two links and then questions the whole. Organisms may die fast, so high production can coexist with low biomass; high biomass can coexist with few species. On top of that, the proposed mechanism — more energy makes bigger populations, which lowers the chance of local extinction — has never been tested.</p><p>The third hypothesis rests on the tropics' climatic stability and a more reliable supply of resources, which lets species survive on few types of food and lets competing species tolerate more overlap between their niches, so more species can live on the same resources. The author's objection here is a scale mismatch rather than a factual error, and it is the most conceptually demanding move in the passage: local ecological processes like competition do not generate regional pools of species, and what separates an equatorial forest from a higher-latitude one is the total number of species regionally available to colonize it.</p><p>The fourth hypothesis is the one the author endorses, and the endorsement is explicit — most plausible. It shifts attention to regional speciation and specifically to the rates at which species form and go extinct. The claim is conditional: if speciation rates rise toward the tropics and are not cancelled out by extinction rates, the latitudinal gradient follows and grows steeper over time. Note that this hypothesis answers the objection raised in the previous paragraph, since it operates at the regional scale the author said was the relevant one.</p><p>The closing paragraph supplies the mechanism the favored hypothesis needs, which is what the other three lacked or left untested. Most new animal species, and perhaps plant species, arise when a subgroup of a population becomes isolated, evolves separately and eventually can no longer interbreed with the original population. A species spread unevenly across a large area promotes this, because small populations at the edges break off into isolated groups. The final step delivers the latitudinal difference: isolated subgroups in the arctic are likelier to die out, so tropical ones survive long enough to adapt and become new species.</p>","<p>The passage sets out to explain why species numbers increase from the poles toward the equator, evaluates four hypotheses — time, species-energy, climatic stability, and rate of speciation — and endorses the last, on the grounds that isolated subgroups at the edges of a species' range are likelier to survive and become new species in the tropics than in the arctic. The author's purpose is to assess competing explanations and identify the strongest, using a consistent structure of statement followed by objection for the first three before committing to the fourth and supplying its mechanism. The only viewpoint developed is the author's own assessment of each hypothesis.</p>",
